,u10,v10,d2m,t2m,cdir,skt,tcrw,T
226,-1.4942082,2.2100577,281.01224,285.69598,0,283.30215,0.0007011,24/04/2019 00:00
227,0.07791196,3.0420737,284.2354,298.25656,7378118,301.30597,0.000189304,24/04/2019 12:00
228,0.7989336,1.7724966,283.29535,286.2511,0,283.95807,0,25/04/2019 00:00
229,1.4379466,1.7141551,283.1175,299.4989,7452980,302.60678,0,25/04/2019 12:00
230,1.1529837,1.6193968,283.15692,286.68826,0,285.4399,0,26/04/2019 00:00
231,0.4388535,2.7983031,282.81448,301.51123,7554641.5,303.9868,0,26/04/2019 12:00
232,2.2225423,-0.14199543,286.18253,289.5027,0,287.45035,0.012318343,27/04/2019 00:00
233,0.49829257,-1.9596853,282.46072,289.323,7322003,292.291,0.027420044,27/04/2019 12:00
234,2.7972922,0.41707933,280.85605,282.21347,0,282.52853,0.002474889,28/04/2019 00:00
235,1.0142926,-1.8305537,279.29126,291.00684,7546841,295.54993,0.00091143,28/04/2019 12:00
236,-0.07059954,-1.1501509,279.47897,282.67596,0,282.1603,0.004858628,29/04/2019 00:00
237,0.5882265,-2.370491,279.77164,286.2863,7372456.5,285.87354,0.038076773,29/04/2019 12:00
238,1.3369863,-1.84133,280.71857,282.5512,0,282.59872,0.009969652,30/04/2019 00:00
239,2.528352,-1.5451635,282.00006,286.05475,7032621,288.61835,0.007613957,30/04/2019 12:00
240,4.65472,-0.55781776,281.05606,283.34714,0,282.30966,0.014295444,01/05/2019 00:00
241,2.517498,-3.3069272,280.63876,291.65332,7457510,293.36673,0.008483321,01/05/2019 12:00
242,2.3839755,-0.43351698,278.21225,283.073,0,281.64685,2.10E-05,02/05/2019 00:00
243,2.7904007,1.526682,280.02487,295.4415,7636172,298.54736,0.00058192,02/05/2019 12:00
244,2.5028534,2.132207,278.39505,285.7207,0,284.16867,0,03/05/2019 00:00
245,4.2892985,2.0097642,280.10715,293.87747,7712669.5,297.4826,0.004725412,03/05/2019 12:00
246,-0.6773948,0.32975292,282.9628,284.85254,0,282.62695,0.001549438,04/05/2019 00:00
247,0.654557,0.006459475,283.08548,292.43506,7458013,292.85397,0.014316469,04/05/2019 12:00
248,-1.321232,-0.9106536,283.78708,285.47556,0,284.33594,0.05152388,05/05/2019 00:00
249,2.61105,-3.264007,280.3727,282.60925,7066592,281.49957,0.03804873,05/05/2019 12:00
250,2.995767,-2.4659925,277.8462,279.51205,0,278.9213,0.02671194,06/05/2019 00:00
251,3.0236776,-3.6021647,277.18054,279.67752,7154161.5,281.15268,0.008756742,06/05/2019 12:00
252,3.3189776,-2.204385,277.0224,279.28665,0,278.41336,0.006169692,07/05/2019 00:00
253,2.7223473,-3.1138802,274.5747,286.24802,7792312.5,287.82272,0.003701806,07/05/2019 12:00
254,1.3294057,1.2702769,275.734,278.21844,0,278.96054,0,08/05/2019 00:00
255,-0.58160317,2.8100085,276.39963,290.17944,7929329,294.49277,0,08/05/2019 12:00
256,-0.18120788,1.7262322,279.95984,284.36472,0,283.03647,0.004816562,09/05/2019 00:00
257,-0.42930138,1.1916832,283.31656,285.683,7351696.5,286.08002,0.19161782,09/05/2019 12:00
258,2.9175487,-0.4833116,280.81268,282.282,0,281.3323,4.21E-05,10/05/2019 00:00
259,1.5811172,-0.776877,282.34644,293.36557,7680963,296.996,5.61E-05,10/05/2019 12:00
260,1.3802304,-0.8268574,281.3645,283.8473,0,281.63104,0.000588924,11/05/2019 00:00
261,0.1993744,2.3146634,283.0372,295.4594,7726509.5,298.41452,0,11/05/2019 12:00
262,-1.107079,-0.79118365,283.88116,287.85837,0,284.65393,0.000266418,12/05/2019 00:00
263,-3.3929846,-0.81552356,284.08713,294.46713,7614657,296.66632,0.004192576,12/05/2019 12:00
264,-2.1785326,-4.876387,285.41788,286.79755,0,285.56793,0.09183717,13/05/2019 00:00
265,-1.7295525,-5.514799,284.43842,288.33197,7251167.5,288.28592,0.015683621,13/05/2019 12:00
