longitude,latitude,time,u10,v10,d2m,t2m,cdir,tcrw,T
17.56999969,45.34999847,27/03/2019 01:00,0.9538402,-1.6082258,270.93875,274.83594,0,1.49E-08,27/03/2019 01:00
17.56999969,45.34999847,27/03/2019 13:00,-1.869497,-3.5174031,271.95483,283.58835,2020456.8,0.000143543,27/03/2019 13:00
17.56999969,45.34999847,28/03/2019 01:00,-0.11540842,-1.3363581,272.3751,277.0544,0,1.49E-08,28/03/2019 01:00
17.56999969,45.34999847,28/03/2019 13:00,-1.9387788,-2.3857305,270.17236,286.80124,2101120,1.49E-08,28/03/2019 13:00
17.56999969,45.34999847,29/03/2019 01:00,0.24569649,-1.3108357,273.953,276.54993,0,1.49E-08,29/03/2019 01:00
17.56999969,45.34999847,29/03/2019 13:00,-1.7378615,-2.142714,272.75574,288.5877,2097361,1.49E-08,29/03/2019 13:00
17.56999969,45.34999847,30/03/2019 01:00,0.3410114,-0.81148684,272.4629,275.92523,0,1.49E-08,30/03/2019 01:00
17.56999969,45.34999847,30/03/2019 13:00,-1.1210438,-0.25499022,272.84302,291.0732,2094071.8,1.49E-08,30/03/2019 13:00
17.56999969,45.34999847,31/03/2019 01:00,-0.6066792,-0.86401093,270.97528,281.2448,0,1.49E-08,31/03/2019 01:00
17.56999969,45.34999847,31/03/2019 13:00,-2.0802813,-0.91320604,273.57034,294.0384,2127433.5,1.49E-08,31/03/2019 13:00
17.56999969,45.34999847,01/04/2019 01:00,0.7117739,-1.422357,274.2352,279.1351,0,1.49E-08,01/04/2019 01:00
17.56999969,45.34999847,01/04/2019 13:00,-1.7122482,-2.3897994,276.60794,293.69824,2101746.5,1.49E-08,01/04/2019 13:00
17.56999969,45.34999847,02/04/2019 01:00,-2.1453643,-0.9180146,273.46426,281.26114,0,1.49E-08,02/04/2019 01:00
17.56999969,45.34999847,02/04/2019 13:00,-2.2245135,-0.16455257,275.83142,292.821,2134051,1.49E-08,02/04/2019 13:00
17.56999969,45.34999847,03/04/2019 01:00,-1.3215412,0.2585994,275.74005,281.7384,0,1.49E-08,03/04/2019 01:00
17.56999969,45.34999847,03/04/2019 13:00,1.3054976,2.9998403,276.52878,293.7037,2095677.1,0.000929192,03/04/2019 13:00
17.56999969,45.34999847,04/04/2019 01:00,-0.41248035,1.3125956,276.55923,280.37122,0,1.49E-08,04/04/2019 01:00
17.56999969,45.34999847,04/04/2019 13:00,-0.98164046,3.819697,276.70236,293.3853,2112632,0.001707286,04/04/2019 13:00
17.56999969,45.34999847,05/04/2019 01:00,-3.6013312,0.5254736,276.50897,284.59848,0,1.49E-08,05/04/2019 01:00
17.56999969,45.34999847,05/04/2019 13:00,-0.41583943,1.4816344,283.08768,285.3005,2048336.5,0.08199456,05/04/2019 13:00
17.56999969,45.34999847,06/04/2019 01:00,1.2343264,-0.06468272,277.31647,277.59875,0,0.000770554,06/04/2019 01:00
17.56999969,45.34999847,06/04/2019 13:00,0.08844793,0.26211333,277.45706,289.76218,2141216.5,0.000309736,06/04/2019 13:00
17.56999969,45.34999847,07/04/2019 01:00,-1.3929223,-1.1952457,277.26672,279.72598,0,1.49E-08,07/04/2019 01:00
17.56999969,45.34999847,07/04/2019 13:00,0.21966338,-1.5621747,280.62054,291.49612,2131427.5,0.000823438,07/04/2019 13:00
17.56999969,45.34999847,08/04/2019 01:00,0.8226247,-1.048585,283.16736,284.2813,0,0.011407033,08/04/2019 01:00
17.56999969,45.34999847,08/04/2019 13:00,-1.8783146,-0.43364608,283.01105,290.1283,2109343,0.000158653,08/04/2019 13:00
17.56999969,45.34999847,09/04/2019 01:00,1.0957628,-1.5024377,282.84204,283.15094,0,0.003399462,09/04/2019 01:00
17.56999969,45.34999847,09/04/2019 13:00,1.2412546,-0.6300567,284.02664,291.35776,2118192.5,9.82E-05,09/04/2019 13:00
17.56999969,45.34999847,10/04/2019 01:00,0.39727664,-0.74823594,281.90054,283.87228,0,1.49E-08,10/04/2019 01:00
17.56999969,45.34999847,10/04/2019 13:00,-0.857983,-0.9906976,282.11627,291.2043,2142587,0.001571313,10/04/2019 13:00
17.56999969,45.34999847,11/04/2019 01:00,-0.12590575,-0.6585381,284.40118,284.52115,0,0.01476115,11/04/2019 01:00
17.56999969,45.34999847,11/04/2019 13:00,0.9290667,-2.513157,283.33994,285.22742,2056442,0.08269712,11/04/2019 13:00
17.56999969,45.34999847,12/04/2019 01:00,2.1013982,-2.3979368,278.58734,279.57312,0,0.04594536,12/04/2019 01:00
17.56999969,45.34999847,12/04/2019 13:00,2.0967793,-1.6661133,276.61453,277.3456,2027622.5,0.01680082,12/04/2019 13:00
17.56999969,45.34999847,13/04/2019 01:00,1.8047463,-1.6933,278.40817,279.33206,0,0.009518459,13/04/2019 01:00
