,air-temp-1.8m-2m,dew2m,temp2m
553,-3.2,-2.91282,-1.91056
554,-3.2,-2.84672,-1.8903
555,-3.1,-2.76502,-1.9261
556,-3.0,-2.59574,-1.74576
557,-2.9,-2.58124,-1.6215
558,-2.7,-2.43506,-1.56544
559,-2.4,-2.38563,-1.32502
560,-1.7,-2.26685,-0.99006
561,-0.8,-2.41248,-0.7422
562,-0.4,-2.4603,-0.17222
563,0.3,-2.64194,0.4032
564,1.0,-2.94828,0.32687
565,0.9,-3.354,0.3802
566,0.6,-3.8941,0.02972
567,-0.2,-4.16227,-0.37415
568,-0.9,-4.60993,-0.99814
569,-1.4,-4.70936,-1.3966
570,-1.4,-5.0248,-1.59177
571,-1.3,-5.43537,-2.22864
572,-2.3,-5.85184,-2.4346
573,-3.0,-5.80726,-2.58387
574,-5.7,-5.96042,-2.94248
575,-6.5,-5.78416,-2.97217
576,-4.5,-5.90452,-3.15925
577,-6.8,-6.46342,-4.02167
578,-7.0,-6.51984,-4.0676
579,-6.5,-6.82776,-4.36136
580,-6.6,-6.86326,-4.32963
581,-7.3,-7.02018,-4.50522
582,-5.9,-6.96912,-4.17026
583,-5.2,-6.54993,-3.16804
584,-3.4,-6.27427,-2.59806
585,-2.0,-5.818,-1.67417
586,-0.6,-5.17957,-0.80704
587,0.8,-5.2618,-0.0412
588,1.3,-5.75675,0.7206
589,1.2,-5.9959,0.85702
590,0.9,-6.4935,0.34442
591,-0.1,-6.82508,-0.59296
592,-0.7,-7.20072,-1.25547
593,-1.2,-7.29532,-1.6465
594,-1.6,-7.55704,-2.07197
595,-1.5,-7.80854,-2.26172
596,-2.2,-7.8988,-2.47785
597,-3.0,-8.2159,-3.59824
598,-3.4,-8.51792,-4.29655
599,-4.5,-8.4964,-4.3465
600,-6.9,-8.60175,-4.77537
601,-6.9,-9.33475,-6.42792
602,-8.1,-11.4376,-9.16172
603,-8.3,-11.18073,-8.46274
604,-7.8,-9.5599,-6.20844
605,-7.9,-9.38526,-6.5184
606,-9.8,-9.2101,-6.1875
607,-8.1,-9.74586,-7.2647
608,-6.0,-7.88108,-4.1824
609,-3.1,-6.7574,-2.92087
610,-1.3,-6.3538,-1.84302
