d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
266.97946,270.6992,271.66833,273.8032,276.4577,281.79276,5.96E-08,05.01.2019 02:00:00,,-2.1,85.3,-1.8,0.7,0,-6.17054,-2.4508,-1.48167,0.6532,3.3077,8.64276
266.89618,270.6634,271.559,273.80026,276.45404,281.78613,5.96E-08,05.01.2019 03:00:00,,-2,86.2,-1.7,0.7,0,-6.25382,-2.4866,-1.591,0.65026,3.30404,8.63613
266.89993,270.7924,271.6626,273.79605,276.44827,281.78177,5.96E-08,05.01.2019 04:00:00,,-2,85.8,-1.7,0.7,0,-6.25007,-2.3576,-1.4874,0.64605,3.29827,8.63177
267.01224,270.94434,271.66202,273.79355,276.4425,281.77652,5.96E-08,05.01.2019 05:00:00,,-2,85.6,-1.6,0.7,0,-6.13776,-2.20566,-1.48798,0.64355,3.2925,8.62652
267.181,271.00174,271.56876,273.78976,276.43704,281.77103,5.96E-08,05.01.2019 06:00:00,,-1.8,83.9,-1.4,0.7,0,-5.969,-2.14826,-1.58124,0.63976,3.28704,8.62103
267.42337,271.01254,271.42776,273.78555,276.43127,281.76532,5.96E-08,05.01.2019 07:00:00,,-1.6,83.4,-1.2,0.7,0,-5.72663,-2.13746,-1.72224,0.63555,3.28127,8.61532
267.90002,271.56766,271.3397,273.78302,276.4258,281.76004,5.96E-08,05.01.2019 08:00:00,,-1.6,82.7,-1.2,0.7,0,-5.24998,-1.58234,-1.8103,0.63302,3.2758,8.61004
268.23215,272.3531,271.30746,273.7801,276.42004,281.75546,5.96E-08,05.01.2019 09:00:00,,-0.5,77.3,-0.1,0.6,0,-4.91785,-0.7969,-1.84254,0.6301,3.27004,8.60546
268.42776,272.7029,270.90054,273.72253,276.41425,281.75067,5.96E-08,05.01.2019 10:00:00,,0.3,76.7,0.8,0.7,0,-4.72224,-0.4471,-2.24946,0.57253,3.26425,8.60067
269.06833,273.14053,271.1624,273.7095,276.40848,281.74472,5.96E-08,05.01.2019 11:00:00,,1,73,1.6,0.7,0,-4.08167,-0.00947,-1.9876,0.5595,3.25848,8.59472
269.48807,273.4242,271.41855,273.6969,276.403,281.73947,5.96E-08,05.01.2019 12:00:00,,1.3,73.9,1.8,0.7,0,-3.66193,0.2742,-1.73145,0.5469,3.253,8.58947
269.78094,273.84427,271.75293,273.68683,276.39755,281.73373,5.96E-08,05.01.2019 13:00:00,,1,80.4,1.4,0.7,0,-3.36906,0.69427,-1.39707,0.53683,3.24755,8.58373
269.78415,274.08737,272.11093,273.6763,276.39056,281.72894,5.96E-08,05.01.2019 14:00:00,,1.5,76.6,2.1,0.6,0,-3.36585,0.93737,-1.03907,0.5263,3.24056,8.57894
269.6224,274.4021,272.47354,273.6679,276.3851,281.723,5.00E-05,05.01.2019 15:00:00,,1.8,71.2,2.1,0.7,0,-3.5276,1.2521,-0.67646,0.5179,3.2351,8.573
269.35532,274.26096,272.58752,273.65952,276.37842,281.71774,5.00E-05,05.01.2019 16:00:00,,1.5,77.1,1.6,0.6,0,-3.79468,1.11096,-0.56248,0.50952,3.22842,8.56774
269.0721,274.07455,272.336,273.65152,276.37265,281.7127,0.000199795,05.01.2019 17:00:00,,2.1,83.8,1.9,0.7,0,-4.0779,0.92455,-0.814,0.50152,3.22265,8.5627
269.84436,274.3089,272.07642,273.64438,276.36536,281.7072,0.000549316,05.01.2019 18:00:00,,1.6,80.6,1.8,0.6,0,-3.30564,1.1589,-1.07358,0.49438,3.21536,8.5572
