u10,v10,dew2m,dw2m,temp2m,tmp2m,crr,max2mt,mx2t,msdrswrf,min2mt,mn2t,skt,sp,tcrw,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
-1.6569602,-4.5218744,9.57345,282.72345,24.34622,297.49622,2.91E-11,23.7341,296.8841,350.76028,2.36E+01,296.7556,298.09348,100781.445,0.000659112,24.1,25.4,23.9,41,10,3.2,NW,100960,0,0
-1.6980491,-4.080765,8.44256,281.59256,24.14382,297.29382,2.91E-11,23.58975,296.73975,268.5043,2.33E+01,296.4996,296.94125,100758.625,0.000756923,25.2,26.3,24,35,8.6,3.2,NW,100920,0,0
-1.4956181,-3.6042833,8.3587,281.5087,23.3903,296.5403,2.91E-11,23.25613,296.40613,139.49083,2.29E+01,296.0761,295.82684,100757.51,0.000536848,23.8,25.8,23.8,40,9.4,3.2,E,100910,0,0
-0.5301677,-2.5635633,8.22527,281.37527,22.3748,295.5248,2.91E-11,22.79443,295.94443,27.150574,2.19E+01,295.00317,293.8689,100774.24,4.89E-05,23,23.8,22.5,44,10.1,1.6,E,100920,0,0
0.23257786,-2.3065352,8.58862,281.73862,20.64794,293.79794,2.91E-11,21.84963,294.99963,0.95144653,2.02E+01,293.38342,292.21356,100830.625,0,22.9,24.2,22.9,41,9,1.6,NW,100900,0,0
0.40008336,-2.3106966,9.29183,282.44183,17.5012,290.6512,2.91E-11,20.10494,293.25494,-3.05E-05,1.92E+01,292.35522,291.18048,100832.305,0,21.8,22.9,21.8,47,10,1.6,NW,100940,0,0
0.5130777,-2.328199,9.4369,282.5869,16.91445,290.06445,2.91E-11,19.05178,292.20178,-3.05E-05,1.85E+01,291.64587,290.5934,100851.87,0,18.6,21.8,18.6,56,9.6,0,NNW,100970,0,0
0.13026673,-2.9301348,9.77892,282.92892,15.1527,288.3027,2.91E-11,18.4183,291.5683,-3.05E-05,1.81E+01,291.2171,290.53665,100864.26,0,17.7,18.6,17.4,59,9.6,0,NNW,100990,0,0
-0.07654703,-2.912877,9.7189,282.8689,14.9329,288.0829,2.91E-11,18.00292,291.15292,-3.05E-05,1.77E+01,290.824,290.65506,100838.766,0,16.9,17.7,16.9,61,9.3,0,NNW,101000,0,0
-0.2565161,-2.7327125,9.60055,282.75055,14.33813,287.48813,2.91E-11,17.57583,290.72583,-3.05E-05,1.69E+01,290.05417,289.89813,100867.766,0,16.2,16.8,16.1,63,9.1,0,NW,101000,0,0
-0.45319462,-2.633206,9.35845,282.50845,13.75463,286.90463,2.91E-11,16.75707,289.90707,-3.05E-05,1.61E+01,289.24576,289.37875,100877.516,0,15.3,16.2,14.8,67,9.2,0,NW,101020,0,0
-0.36334705,-2.4234219,9.21398,282.36398,12.49572,285.64572,2.91E-11,15.9432,289.0932,-3.05E-05,1.54E+01,288.54663,288.9388,100875.62,0,14.8,15.3,14.7,69,9.1,0,NW,101030,0,0
-0.06422043,-2.1950338,9.91082,283.06082,13.31756,286.46756,2.91E-11,15.29284,288.44284,-3.05E-05,1.49E+01,288.02698,288.40546,100909.18,0,14.8,15,14.7,68,9,0,NW,101010,0,0
0.098765254,-2.172146,9.98422,283.13422,13.3877,286.5377,2.91E-11,14.97637,288.12637,5.176361,1.46E+01,287.72684,288.75082,100942.375,0,14.7,14.8,14.4,69,9,0,NW,101020,0,0
-0.010257065,-2.1388547,10.82787,283.97787,16.07156,289.22156,2.91E-11,16.818,289.968,69.60382,1.53E+01,288.48352,291.26257,100952,0,14.2,14.7,14.2,71,9,0,NW,101050,0,0
-0.60084045,-2.0072808,11.44067,284.59067,17.42675,290.57675,2.91E-11,18.83022,291.98022,199.74997,1.72E+01,290.3482,294.6421,100994.01,0,14.3,14.3,13.7,72,9.3,0,NW,101090,0,0
-1.0956869,-1.894066,11.99108,285.14108,19.40612,292.55612,2.91E-11,20.47573,293.62573,348.59686,1.93E+01,292.46686,297.80258,101014.81,0,17.9,17.9,14.3,61,10.3,0,NW,101090,0,0
-1.4924681,-2.0380018,12.06857,285.21857,22.93905,296.08905,2.91E-11,22.1432,295.2932,493.21878,2.08E+01,293.9659,300.48532,100967.68,0,19.5,19.7,17.9,59,11.3,1.6,NW,101140,0,0
-2.128934,-2.4277058,11.38955,284.53955,24.12603,297.27603,2.91E-11,23.49026,296.64026,516.30304,2.25E+01,295.6228,302.3578,100971.31,0,21.9,21.9,19.4,54,12.2,1.6,E,101130,0,0
-2.3951895,-2.2889104,10.21276,283.36276,25.9441,299.0941,2.91E-11,24.68777,297.83777,665.53503,2.37E+01,296.88275,302.94675,100945.63,0,23.8,23.9,21.9,52,13.4,1.6,E,101130,0,0
-2.393957,-2.2838922,9.90057,283.05057,26.585,299.735,2.91E-11,25.58828,298.73828,707.81836,2.49E+01,298.03168,303.9696,100900.49,0,25.6,25.6,23.9,40,11,1.6,ENE,101130,0,0
-2.2789083,-2.184875,9.28332,282.43332,27.10745,300.25745,2.91E-11,26.17632,299.32632,613.80505,2.57E+01,298.89386,304.1542,100843.766,0,26.8,26.8,25.3,33,9.2,3.2,E,101090,0,0
-2.2150836,-2.2147393,9.14657,282.29657,27.61392,300.76392,2.91E-11,26.60198,299.75198,535.57007,2.63E+01,299.42844,303.95486,100799.89,0,27.8,27.8,26.4,31,9.1,3.2,E,101050,0,0
-2.2565832,-2.2490098,8.53088,281.68088,28.00778,301.15778,2.91E-11,26.9136,300.0636,468.24295,2.67E+01,299.8087,303.1809,100754.555,0,28.1,28.4,27.4,27,7.3,3.2,E,101030,0,0
-2.1374257,-2.3024962,8.2365,281.3865,28.11385,301.26385,2.91E-11,27.06454,300.21454,410.589,2.69E+01,300.09363,301.9799,100729.01,0,28.4,28.9,27.7,28,8.1,3.2,ENE,100990,0,0
-1.9059587,-2.3879275,8.10635,281.25635,27.73528,300.88528,2.91E-11,26.96847,300.11847,229.33585,2.65E+01,299.69763,300.14337,100745.984,0,28.8,28.9,28.3,28,8.5,1.6,E,100930,0,0
-1.0443258,-2.1834064,8.66317,281.81317,26.57083,299.72083,2.91E-11,26.43304,299.58304,145.04102,2.58E+01,298.9681,297.80182,100733.13,0,28.6,28.8,28.4,26,7.2,1.6,E,100920,0,0
-0.18734992,-2.0559938,8.55898,281.70898,25.04522,298.19522,2.91E-11,25.51708,298.66708,46.757446,2.37E+01,296.81027,295.01584,100758.06,0,28.3,28.6,28.3,26,6.9,1.6,E,100910,0,0
-0.017926991,-2.4186485,8.52972,281.67972,23.65334,296.80334,2.91E-11,23.63235,296.78235,1.0194092,2.15E+01,294.651,293.2542,100791.82,0,26.9,28.3,26.9,31,8.4,0,E,100920,0,0
-0.10887027,-2.5350456,10.0919,283.2419,19.94854,293.09854,2.91E-11,21.66354,294.81354,-3.05E-05,2.12E+01,294.32687,292.39627,100820.38,0,24.1,26.9,24.1,40,9.6,0,ENE,100950,0,0
-0.30527484,-2.4072657,10.09387,283.24387,19.15215,292.30215,2.91E-11,21.01373,294.16373,-3.05E-05,2.02E+01,293.38782,291.55878,100839.01,0,19.9,24.1,19.9,55,10.6,0,---,100970,0,0
-0.28719574,-1.8719126,9.70495,282.85495,16.0701,289.2201,2.91E-11,20.05435,293.20435,-3.05E-05,1.92E+01,292.3634,291.0042,100872.266,0,17,20,17,74,12.3,0,ENE,100990,0,0
