Wind speed.mean,Rainfall.mean,Wind direction.mean,Ground temperature.mean,Air temperature.mean,u10,v10,d2m,t2m,skt,tcrw,Air moisture.mean,cdir,Global radiation.mean,cdir_real
2.283333333,0.002777778,101.4125,16.37083333,9.513888889,2.3898332,0.45646918,278.29257,285.15076,281.0749,9.82E-05,72.56666667,0,16.87083333,0
3.786111111,0.011111111,114.9180556,17.07222222,4.315277778,-0.798685,2.2200909,272.55862,280.49936,280.96753,0.003631696,91.75277778,5578915,25.98472222,516.5662037
5.088888889,0.001388889,57.95416667,43.98194444,3.848611111,2.8310604,-2.1369393,274.015,275.5658,275.56805,1.40E-05,89.83333333,0,144.0569444,0
3.081944444,0,68.48888889,7.327777778,5.319444444,0.09841413,-4.455177,272.42706,281.50214,285.23413,0.00016126,66.65694444,5710143.5,95.65972222,528.7169907
1.772222222,0,171.9597222,25.22222222,2.025,1.2637643,1.4986261,269.18268,271.5998,271.94153,0,80.52361111,0,155.7375,0
1.772222222,0,200.2625,24.97361111,8.075,-0.34918785,2.000846,268.9984,284.65802,286.7139,0,50.60972222,5901891,114.0180556,546.4713889
1.868055556,0,60.86111111,24.95555556,5.609722222,0.3759687,-1.2164818,272.8547,277.96774,275.44623,0,83.50138889,0,182.8944444,0
1.197222222,0,116.8222222,6.783333333,9.119444444,2.0395734,-1.0438728,272.86703,285.22177,289.20062,3.51E-05,53.48194444,5869681,117.0361111,543.4889815
2.054166667,0,147.8194444,34.20694444,7.631944444,0.6187213,3.5322165,271.32147,279.11993,278.12085,0,64.03333333,0,182.4986111,0
1.619444444,0,123.6388889,43.35416667,12.4,2.504921,-2.61965,272.53052,287.59595,290.76645,0,47.97916667,5868171.5,83.47083333,543.349213
2.754166667,0,147.6791667,16.39166667,12.45972222,2.0933268,1.4726142,272.60245,283.0557,280.07828,0.000616968,58.10694444,0,108.0236111,0
0.781944444,0,256.4138889,34.825,10.87916667,-1.2678229,-0.8630886,277.71808,287.4144,290.33286,0.000133216,74.6875,5729771,91.0375,530.5343519
1.9875,0,171.6402778,35.00972222,10.1375,0.71416837,1.6619452,276.29666,279.2552,277.9481,0,78.93194444,0,195.4875,0
1.9375,0,122.9777778,7.879166667,18.26388889,2.881024,2.7039165,278.095,295.3946,298.13165,0,50.57222222,6013995,157.9361111,556.8513889
2.791666667,0,161.475,8.293055556,10.3,3.3499894,0.54453874,278.44333,283.99857,282.16306,0,76.58472222,0,145.5152778,0
7.001388889,0,63.4875,26.50833333,8.384722222,0.39664316,-4.958883,276.64697,286.08932,285.12677,0.0033793,70.97361111,5795196.5,82.50972222,536.5922685
2.688888889,0,63.18333333,8.268055556,5.631944444,0.8802532,-1.4310818,274.57324,279.41943,277.32657,0.001360133,88.68333333,0,53.69583333,0
2.398611111,0,150.4194444,26.28055556,8.255555556,-0.4113835,-2.9199042,273.26514,281.37125,281.85196,0.002783373,62.90416667,5918624.5,60.44305556,548.020787
